"Reference","Value","Footprint","Datasheet","Description","Height","LCSC Part #","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Source","Qty"
"C1, C5","47 uF","SMD2000_Footprints:EEE0GA101SR","http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf","Cap Aluminum Lytic 47uF 16V 20% (5 X 5.4mm) SMD 39mA 1000h 85C Automotive T/R","6.5","C178500","Panasonic","EEE-1CA470WAR","667-EEE-1CA470WAR","https://www.mouser.co.uk/ProductDetail/Panasonic/EEE-1CA470WAR?qs=d1CqaRUMZD%2FiYn4JMv7QWw%3D%3D","","2"
"C2, C140","10 uF","SMD2000_Footprints:EEE1AA220WR","http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf","PANASONIC ELECTRONIC COMPONENTS - EEE1EA100WAR - CAP, ALU ELEC, 10UF, 25V, SMD","5.5","C336730","Panasonic","EEE-1EA100WAR","667-EEE-1EA100WAR","https://www.mouser.co.uk/ProductDetail/Panasonic/EEE-1EA100WAR?qs=d1CqaRUMZD8IzJai8yeTmQ%3D%3D","","2"
"C3, C100, C101, C141, C150-C157, C170-C173, C180","0.1 uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","http://datasheets.avx.com/X7RDielectric.pdf","0805 X7R ceramic capacitor,100nF 50V AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 50 V dc, +125degC, X7R Dielectric,  /-10% SMD","0.94","C123316","AVX","08055C104KAT2A","581-08055C104K","https://www.mouser.co.uk/ProductDetail/AVX/08055C104KAT2A?qs=2ujN4bDBNE9mJvapP%252BjopA%3D%3D","","17"
"C4, C6, C7","220 uF","SMD2000_Footprints:EEHZT1E331UP","https://componentsearchengine.com/Datasheets/1/EEE-1EA221UAP.pdf","Panasonic 220F 25V dc Aluminium Electrolytic Capacitor, Surface Mount 8 x 10.2mm +85C 8mm 10.2mm","10.8","C336328","Panasonic","EEE-1EA221UAP","667-EEE-1EA221UAP","https://www.mouser.com/Search/Refine.aspx?Keyword=667-EEE-1EA221UAP","","3"
"CN2","3v3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf","Headers & Wire Housings 2.54MM VT ECONOSTIK HDR","","","Amphenol FCI","10129378-903001BLF","649-1012937890301BLF","https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-903001BLF?qs=0lQeLiL1qybuYTJnitumiA%3D%3D","","1"
"CN100","A2000_COPRO_SLOT","SMD2000_Footprints:A2000_COPRO_SLOT","DOCUMENTATION","","","","","","","","https://github.com/SukkoPera/OpenAmiga2000CoproAdapter","1"
"CN150","JTAG","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf","","","","Amphenol FCI","67997-410HLF","649-67997-410HLF","https://au.mouser.com/ProductDetail/Amphenol-FCI/67997-410HLF?qs=EEeFj3a206OMu9AFYw1RTQ%3D%3D","","1"
"CN151","PROG_PWR","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf","","","","Amphenol FCI","67996-400HLF","649-67996-400HLF","https://au.mouser.com/ProductDetail/Amphenol-FCI/67996-400HLF?qs=cpLrBgdhsoHypZ881pDXnQ%3D%3D","","1"
"CN160","40 pin IDE","SMD2000_Footprints:HDRV40W64P254_2X20_5080X483X878P","https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/10129381.pdf","","8.78","","Amphenol Communications Solutions","10129381-940002BLF","649-1012938194002BLF","https://www.mouser.co.uk/ProductDetail/Amphenol-FCI/10129381-940002BLF?qs=0lQeLiL1qybDkBpXY7DYcQ%3D%3D","","1"
"CN650","CPU_EXT","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf","Headers & Wire Housings ECONOSTIK HEADER SR VT TH 1X7","","","Amphenol FCI","10129378-907003BLF","649-1012937890703BLF ","https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-907003BLF?qs=0lQeLiL1qyaQcjBpJILP3A%3D%3D","","1"
"D160","IDE-ACT","SMD2000_Footprints:LEDC2012X80N","https://componentsearchengine.com/Datasheets/2/150080RS75000.pdf","LED,Wurth Elektronik,150080RS75000 Wurth Elektronik 150080RS75000, WL-SMCW Series Red LED, 625 nm 2012 (0805) Clear, Rectangle Lens SMD package","0.8","","Wurth Elektronik","150080RS75000","710-150080RS75000","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150080RS75000?qs=LlUlMxKIyB2jdCo7bnfgew%3D%3D","","1"
"D161","CONFIG'D","SMD2000_Footprints:LEDC2012X80N","https://katalog.we-online.com/led/datasheet/150080GS75000.pdf","150080GS75000, Wurth Elektronik WL-SMCW 520 nm Green LED, 2012 (0805) Clear SMD package","0.8","","Wurth Elektronik","150080GS75000","710-150080GS75000","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150080GS75000?qs=2kOmHSv6VfQRoTEZVk1mGA%3D%3D","","1"
"J101, J102","Conn_01x06_Pin","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf","Headers & Wire Housings ECONOSTIK HEADER SR VT TH 1X6","","","Amphenol FCI","10129378-906004BLF","649-1012937890604BLF","https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-906004BLF?qs=0lQeLiL1qya%252BL29fC4n94A%3D%3D","","2"
"J161","AUTOBOOT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf","","","","Amphenol FCI","67996-400HLF","649-67996-400HLF","https://au.mouser.com/ProductDetail/Amphenol-FCI/67996-400HLF?qs=cpLrBgdhsoHypZ881pDXnQ%3D%3D","","1"
"J162","FLASHBANK","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf","","","","Amphenol FCI","67996-400HLF","649-67996-400HLF","https://au.mouser.com/ProductDetail/Amphenol-FCI/67996-400HLF?qs=cpLrBgdhsoHypZ881pDXnQ%3D%3D","","1"
"J163","IDE LED","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf","","","","Amphenol FCI","67996-400HLF","649-67996-400HLF","https://au.mouser.com/ProductDetail/Amphenol-FCI/67996-400HLF?qs=cpLrBgdhsoHypZ881pDXnQ%3D%3D","","1"
"J164","_CFG_IN","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf","Headers & Wire Housings 2.54MM VT ECONOSTIK HDR","","","Amphenol FCI","10129378-903001BLF","649-1012937890301BLF","https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-903001BLF?qs=0lQeLiL1qybuYTJnitumiA%3D%3D","","1"
"J165","_CFG_OUT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf","Headers & Wire Housings 2.54MM VT ECONOSTIK HDR","","","Amphenol FCI","10129378-903001BLF","649-1012937890301BLF","https://au.mouser.com/ProductDetail/Amphenol-FCI/10129378-903001BLF?qs=0lQeLiL1qybuYTJnitumiA%3D%3D","","1"
"J166","_FLASHPROG","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf","","","","Amphenol FCI","67996-400HLF","649-67996-400HLF","https://au.mouser.com/ProductDetail/Amphenol-FCI/67996-400HLF?qs=cpLrBgdhsoHypZ881pDXnQ%3D%3D","","1"
"JP1-JP3, JP5, JP9","Jumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","~","","","","","","","","","5"
"JP4, JP6-JP8","Jumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~","","","","","","","","","4"
"JP11","SolderJumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","~","","","","","","","","","1"
"R150-R157, R164, R166, R167","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","YAGEO - RC0805FR-0710KL - SMD Chip Resistor, 10 kohm, +/- 1%, 125 mW, 0805 [2012 Metric], Thick Film, General Purpose","0.6","C84376","YAGEO","RC0805FR-0710KL","603-RC0805FR-0710KL","https://www.mouser.co.uk/ProductDetail/YAGEO/RC0805FR-0710KL?qs=7bY8808IzHq6vrU3BeiiYw%3D%3D","","11"
"R160, R161, R163","470","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","","","C4143257","Yageo","RC0805JR-10470RL","603-RC0805JR-10470RL ","https://au.mouser.com/ProductDetail/YAGEO/RC0805JR-10470RL?qs=fRxXYNj8ftEFZlcbXaHWlw%3D%3D","","3"
"U101","M68000","Package_DIP:DIP-64_W22.86mm_LongPads","https://au.mouser.com/datasheet/2/181/D2XXX-1115503.pdf","IC & Component Sockets 64 WAY IC SKT ASSY DUAL ROW VERTICAL","","","Harwin","D2864-42","855-D2864-42","https://au.mouser.com/ProductDetail/Harwin/D2864-42?qs=WxeKq8l4xFv0clt0wJPSFA%3D%3D","","1"
"U140","LM1117IMP-3.3_NOPB","SMD2000_Footprints:SOT230P700X180-4N","https://www.ti.com/lit/ds/symlink/lm1117.pdf?ts=1607578196475&ref_url=https%253A%252F%252Fwww.google.com%252F","LM1117IMP-3.3/NOPB, Low Dropout Voltage Regulator, 1.5A, 3.3 V +/-1%, 4-Pin SOT-223","1.8","","Texas Instruments","LM1117IMP-3.3/NOPB","926-LM1117IMP3.3NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM1117IMP-3.3-NOPB?qs=X1J7HmVL2ZFbpN1TgOsjYQ%3D%3D","","1"
"U150","ATF1508AS-10AU100","SMD2000_Footprints:QFP50P1600X1600X120-100N","http://ww1.microchip.com/downloads/en/devicedoc/doc0784.pdf","CPLD - Complex Programmable Logic Devices 128 MC CPLD 5 V ISP CPLD 100 PIN 10NS","1.2","","Microchip","ATF1508AS-10AU100","556-AF1508AS10AU100","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/ATF1508AS-10AU100?qs=fH4tvdCgwtNCaDFqR17jzQ%3D%3D","","1"
"U170","KM416C4104AS-6","SMD2000_Footprints:TSOP-II-50_21.35x10.16mm_P0.8mm_HandSolder","https://pdf1.alldatasheet.com/datasheet-pdf/download/37270/SAMSUNG/KM416C4104C.html","","","","","","","","","1"
"U180","SST39SF010A-70-4C-WHE","SMD2000_Footprints:SOP50P1400X120-32N","https://4donline.ihs.com/images/VipMasterIC/IC/MCHP/MCHP-S-A0001730378/MCHP-S-A0001730378-1.pdf?hkey=52A5661711E402568146F3353EA87419","Microchip 1MB Parallel Flash Memory 32-Pin TSOP, SST39SF010A-70-4C-WHE","1.2","","Microchip","SST39SF010A-70-4C-WHE","804-39SF010A7CWHE","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/SST39SF010A-70-4C-WHE?qs=KqDo6KlPnLx02yO0x5KFnQ%3D%3D","","1"
